pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,lifesoaks_time,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc,mapchannels_time,unit_cell_atom
12as,5.37719,4.99133,3.4199,2.34909,0.474449,48,5.30,4.50,3.10,2.32,0.47,12,10236
1a27,4.62247,4.59177,4.59177,2.39554,0.484638,38,4.90,4.50,4.30,2.36,0.48,9,8724
1a46,6.8796,6.8796,4.54952,2.79931,0.558974,29,6.50,5.90,4.30,2.68,0.54,12,9488
1a4z,8.34656,7.25716,4.9584,2.58317,0.522072,274,8.10,7.30,4.70,2.56,0.52,562,60784
1a5g,6.54254,6.54254,4.50917,2.74987,0.551045,37,6.30,5.50,4.10,2.60,0.53,11,9356
1a5n,15.905,15.905,15.905,2.5752,0.520593,885,14.30,14.30,14.30,2.52,0.51,3017,135984
1a5o,15.8629,15.8629,15.8629,2.52144,0.510371,885,14.30,14.30,14.30,2.52,0.51,3076,138816
1a61,6.6636,6.6636,4.30642,2.76381,0.55331,38,6.30,6.10,3.90,2.61,0.53,11,9352
1a8a,4.90985,3.85721,3.85721,2.50475,0.507108,136,4.90,3.70,3.50,2.49,0.51,64,22527
1a8b,4.77155,3.72711,3.72711,2.51045,0.508228,143,4.90,3.50,3.50,2.50,0.51,63,22527
1a8i,7.39021,7.02164,7.02164,2.49662,0.505504,267,7.10,5.90,5.50,2.42,0.49,350,53136
1a9q,4.06654,4.06654,4.06654,2.21871,0.443564,103,3.50,3.50,3.50,2.22,0.45,72,26460
1a9s,3.79585,3.79585,3.79585,2.21984,0.443848,114,3.50,3.50,3.50,2.17,0.43,69,26448
1ac4,7.85789,5.86607,5.03181,2.68448,0.540109,38,7.70,5.30,4.50,2.65,0.54,11,9360
1ac8,9.22505,9.10268,9.10268,3.27139,0.622617,39,9.10,8.50,8.50,3.23,0.62,14,9360
1aeb,9.22717,9.10008,9.10008,3.27139,0.622617,40,9.10,8.50,8.50,3.23,0.62,14,9360
1aed,9.22717,9.10008,9.10008,3.27139,0.622617,36,9.10,8.50,8.50,3.23,0.62,15,9360
1aee,9.21252,9.09471,9.09471,3.27139,0.622617,36,9.10,8.50,8.50,3.23,0.62,14,9360
1aef,9.22717,9.10008,9.10008,3.27139,0.622617,35,9.10,8.50,8.50,3.23,0.62,14,9360
1aeg,9.22717,9.10008,9.10008,3.27139,0.622617,38,9.10,8.50,8.50,3.23,0.62,14,9360
1aeh,9.22717,9.10008,9.10008,3.27139,0.622617,34,9.10,8.50,8.50,3.23,0.62,14,9360
1aej,9.22717,9.10008,9.10008,3.27139,0.622617,35,9.10,8.50,8.50,3.23,0.62,14,9360
1aek,9.22717,9.10008,9.10008,3.27139,0.622617,40,9.10,8.50,8.50,3.23,0.62,14,9360
1aem,9.22717,9.10008,9.10008,3.27139,0.622617,38,9.10,8.50,8.50,3.23,0.62,14,9360
1aen,7.85789,5.86607,5.03181,2.68448,0.540109,39,7.70,5.30,4.50,2.65,0.54,11,9360
1aeo,7.85789,5.86607,5.03181,2.68448,0.540109,35,7.70,5.30,4.50,2.65,0.54,11,9360
1aeq,9.22717,9.10008,9.10008,3.27139,0.622617,34,9.10,8.50,8.50,3.23,0.62,15,9360
1aes,9.36475,8.91812,8.91812,3.27139,0.622617,36,9.10,8.50,8.50,3.23,0.62,14,9360
1aet,7.72423,5.88472,5.05868,2.68448,0.540109,37,7.30,5.30,4.50,2.65,0.54,11,9360
1aeu,7.85789,5.86607,5.03181,2.68448,0.540109,38,7.70,5.30,4.50,2.65,0.54,11,9360
1aev,7.86481,5.87178,5.0128,2.68448,0.540109,36,7.70,5.30,4.50,2.65,0.54,11,9360
1afk,4.64628,3.41457,3.11895,2.26585,0.455142,27,4.70,3.50,3.10,2.27,0.46,7,7608
1afl,4.64364,4.04323,3.24316,2.29371,0.461758,29,4.50,3.90,3.10,2.29,0.46,7,7608
1afq,6.46293,6.46293,3.45883,2.3851,0.482383,45,6.30,6.30,3.10,2.36,0.48,22,13960
1ai4,6.57125,6.57125,4.80965,2.56818,0.519282,23,6.10,5.10,4.10,2.62,0.53,6,6071
1ai5,6.59012,6.59012,4.87477,2.56818,0.519282,28,6.10,5.70,4.10,2.62,0.53,6,6071
1ai6,6.63383,6.63383,4.81435,2.60728,0.526492,26,6.10,5.70,4.10,2.62,0.53,6,5980
1ai7,6.57524,6.57524,4.84808,2.56818,0.519282,27,6.10,5.90,4.30,2.62,0.53,6,6071
1ajn,6.32148,6.32148,4.87329,2.56818,0.519282,25,6.10,5.50,4.10,2.62,0.53,6,6071
1ajp,6.5916,6.5916,4.82247,2.56818,0.519282,27,6.10,5.70,4.10,2.62,0.53,6,6071
1ajq,6.5553,6.5553,4.78867,2.56865,0.519372,28,6.10,5.70,4.30,2.62,0.53,6,6070
1am6,4.50215,3.88516,2.07255,2.23859,0.448506,14,3.90,3.50,2.70,2.23,0.45,2,4116
1aq1,4.05671,3.41821,3.41821,2.19858,0.43847,32,3.90,3.10,2.10,2.04,0.40,8,8920
1aqu,5.39786,3.33291,3.06955,2.33477,0.471225,90,5.10,3.10,2.90,2.21,0.45,37,19096
1avm,4.23774,3.42075,3.42075,2.04586,0.396552,103,4.10,3.30,3.10,2.04,0.40,68,25664
1b5g,6.56172,6.56172,4.34924,2.73167,0.548054,39,6.10,6.10,4.10,2.60,0.53,12,9424
1bji,15.4571,15.4571,15.4571,2.82032,0.56226,823,15.70,15.70,15.70,2.91,0.58,3308,152016
1bma,4.21937,3.22421,2.83837,2.19254,0.436923,29,3.90,3.90,2.70,2.19,0.44,6,7288
1bo5,37.5802,37.5802,37.5802,6.58725,0.812582,233,37.30,37.10,37.10,6.54,0.81,1556,62768
1c1p,3.84799,3.84799,3.84799,2.0468,0.396829,38,4.10,4.10,3.70,2.05,0.40,13,9774
1c1q,3.82584,3.82584,3.82584,2.03691,0.393903,32,4.10,4.10,3.70,2.04,0.40,13,9774
1c1r,3.96615,3.96615,3.96615,2.04706,0.396907,36,3.90,3.90,3.70,2.05,0.40,13,9774
1c1s,4.17251,4.17251,4.1725,2.0838,0.407541,31,4.30,4.30,3.90,2.08,0.41,15,9774
1c1t,3.9617,3.9617,3.9617,2.03282,0.392681,32,4.50,4.30,3.90,2.03,0.40,13,9774
1c1w,5.7934,5.7934,4.33423,2.64443,0.533143,36,5.70,5.50,3.90,2.60,0.53,15,9720
1c5q,9.54479,9.38804,9.38804,3.05312,0.595637,19,9.10,8.70,8.70,3.05,0.60,8,6516
1c5r,3.95196,3.95196,3.95196,2.04639,0.396709,37,3.90,3.90,3.70,2.05,0.40,13,9774
1c5s,3.88301,3.88301,3.88301,2.0488,0.397418,40,4.10,4.10,3.70,2.05,0.40,13,9774
1c5t,3.82434,3.82434,3.82434,2.05182,0.398307,35,4.10,3.90,3.70,2.05,0.40,12,9774
1c5u,3.78471,3.78471,3.78471,2.0396,0.3947,37,3.90,3.90,3.50,2.04,0.40,12,9774
1ci1,6.23071,2.34664,2.34664,2.33396,0.471041,61,5.70,2.10,2.10,2.31,0.47,26,15272
1ckj,7.89671,7.60467,4.75208,2.73041,0.547845,76,7.70,7.30,4.50,2.52,0.51,46,19256
1d0v,4.60176,4.60176,3.01779,2.17038,0.431175,29,4.30,4.30,2.90,2.11,0.42,10,9936
1d9z,35.2398,6.30757,6.30757,4.05608,0.695625,185,35.30,5.90,5.90,3.64,0.66,213,28608
1dd7,9.26704,7.76011,7.76011,3.20638,0.614965,46,8.90,7.50,7.30,2.43,0.49,16,9664
1ddo,26.3439,20.2974,10.2548,3.56593,0.653788,1043,26.30,20.30,9.90,3.48,0.65,5928,174080
1diq,8.13432,7.44205,5.14747,2.53502,0.512995,150,7.90,7.10,4.70,2.54,0.52,157,37472
1dp2,9.96701,4.89379,2.24043,2.37373,0.479905,35,9.50,4.90,2.30,2.37,0.48,10,9308
1duh,17.5433,5.56987,5.56987,4.02087,0.69296,22,17.10,5.50,5.50,4.10,0.80,10,5838
1dwk,5.7774,5.55896,5.1104,2.48746,0.503683,54,5.70,5.70,4.70,2.37,0.48,20,11970
1e1v,4.87174,3.49728,3.49728,2.01992,0.388804,40,4.70,2.70,1.90,1.96,0.37,8,9352
1e1x,4.11933,3.28473,3.28473,1.99142,0.380056,38,4.10,2.50,2.10,1.93,0.36,8,9352
1e34,3.98201,3.35871,2.97154,2.05829,0.400198,23,3.70,3.30,2.90,2.08,0.41,5,7372
1e35,3.72559,3.22527,3.22527,2.06645,0.402566,28,3.70,3.50,2.90,2.09,0.41,5,7372
1e36,3.8875,3.11427,2.90475,2.04653,0.396749,20,3.50,3.50,2.70,2.07,0.41,5,7380
