pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc
12as,5.37719,4.99133,3.4199,2.34909,0.474449,5.30,4.50,3.10,2.32,0.47
1a27,4.62247,4.59177,4.59177,2.39554,0.484638,4.90,4.50,4.30,2.36,0.48
1a46,6.8796,6.8796,4.54952,2.79931,0.558974,6.50,5.90,4.30,2.68,0.54
1a4z,8.34656,7.25717,4.9584,2.58317,0.522072,8.10,7.30,4.70,2.56,0.52
1a5g,6.54254,6.54254,4.50917,2.74987,0.551045,6.30,5.50,4.10,2.60,0.53
1a5n,15.905,15.905,15.905,2.5752,0.520593,14.30,14.30,14.30,2.52,0.51
1a5o,15.8629,15.8629,15.8629,2.52144,0.510371,14.30,14.30,14.30,2.52,0.51
1a61,6.6636,6.6636,4.30642,2.76381,0.55331,6.30,6.10,3.90,2.61,0.53
1a8a,4.90985,3.85721,3.85721,2.50475,0.507108,4.90,3.70,3.50,2.49,0.51
1a8b,4.77155,3.72711,3.72711,2.51045,0.508228,4.90,3.50,3.50,2.50,0.51
1a8i,7.39021,7.02164,7.02164,2.49662,0.505504,7.10,5.90,5.50,2.42,0.49
1a9q,4.06654,4.06654,4.06654,2.21871,0.443564,3.50,3.50,3.50,2.22,0.45
1a9s,3.79585,3.79585,3.79585,2.21984,0.443848,3.50,3.50,3.50,2.17,0.43
1ac4,7.85789,5.86607,5.03181,2.68448,0.540109,7.70,5.30,4.50,2.65,0.54
1ac8,9.22505,9.10268,9.10268,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aeb,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aed,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aee,9.21252,9.09471,9.09471,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aef,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aeg,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aeh,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aej,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aek,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aem,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aen,7.85789,5.86607,5.03181,2.68448,0.540109,7.70,5.30,4.50,2.65,0.54
1aeo,7.85789,5.86607,5.03181,2.68448,0.540109,7.70,5.30,4.50,2.65,0.54
1aeq,9.22717,9.10008,9.10008,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aes,9.36475,8.91812,8.91812,3.27139,0.622617,9.10,8.50,8.50,3.23,0.62
1aet,7.72423,5.88472,5.05868,2.68448,0.540109,7.30,5.30,4.50,2.65,0.54
1aeu,7.85789,5.86607,5.03181,2.68448,0.540109,7.70,5.30,4.50,2.65,0.54
1aev,7.86481,5.87178,5.0128,2.68448,0.540109,7.70,5.30,4.50,2.65,0.54
1afk,4.64628,3.41457,3.11895,2.26585,0.455142,4.70,3.50,3.10,2.27,0.46
1afl,4.64364,4.04323,3.24315,2.29371,0.461758,4.50,3.90,3.10,2.29,0.46
1afq,6.46293,6.46293,3.45883,2.3851,0.482383,6.30,6.30,3.10,2.36,0.48
1ai4,6.57125,6.57125,4.80965,2.56818,0.519282,6.10,5.10,4.10,2.62,0.53
1ai5,6.59012,6.59012,4.87477,2.56818,0.519282,6.10,5.70,4.10,2.62,0.53
1ai6,6.63383,6.63383,4.81435,2.60728,0.526492,6.10,5.70,4.10,2.62,0.53
1ai7,6.57524,6.57524,4.84808,2.56818,0.519282,6.10,5.90,4.30,2.62,0.53
1ajn,6.32148,6.32148,4.87329,2.56818,0.519282,6.10,5.50,4.10,2.62,0.53
1ajp,6.5916,6.5916,4.82247,2.56818,0.519282,6.10,5.70,4.10,2.62,0.53
1ajq,6.5553,6.5553,4.78867,2.56865,0.519372,6.10,5.70,4.30,2.62,0.53
1am6,4.50215,3.88516,2.07255,2.23859,0.448506,3.90,3.50,2.70,2.23,0.45
1aq1,4.05671,3.41821,3.41821,2.19858,0.43847,3.90,3.10,2.10,2.04,0.40
1aqu,5.39786,3.33291,3.06954,2.33477,0.471225,5.10,3.10,2.90,2.21,0.45
1avm,4.23774,3.42075,3.42075,2.04586,0.396552,4.10,3.30,3.10,2.04,0.40
1b5g,6.56172,6.56172,4.34924,2.73167,0.548054,6.10,6.10,4.10,2.60,0.53
1bji,15.4571,15.4571,15.4571,2.82032,0.56226,15.70,15.70,15.70,2.91,0.58
1bma,4.21937,3.22421,2.83837,2.19254,0.436923,3.90,3.90,2.70,2.19,0.44
1bo5,37.5802,37.5802,37.5802,6.58725,0.812582,37.30,37.10,37.10,6.54,0.81
1c1p,3.84799,3.84799,3.84799,2.0468,0.396829,4.10,4.10,3.70,2.05,0.40
1c1q,3.82584,3.82584,3.82584,2.03691,0.393903,4.10,4.10,3.70,2.04,0.40
1c1r,3.96615,3.96615,3.96615,2.04706,0.396907,3.90,3.90,3.70,2.05,0.40
1c1s,4.17251,4.17251,4.1725,2.0838,0.407541,4.30,4.30,3.90,2.08,0.41
1c1t,3.9617,3.9617,3.9617,2.03282,0.392681,4.50,4.30,3.90,2.03,0.40
1c1w,5.7934,5.7934,4.33423,2.64443,0.533143,5.70,5.50,3.90,2.60,0.53
1c5q,9.54479,9.38804,9.38804,3.05312,0.595637,9.10,8.70,8.70,3.05,0.60
1c5r,3.95196,3.95196,3.95196,2.04639,0.396709,3.90,3.90,3.70,2.05,0.40
1c5s,3.88301,3.88301,3.88301,2.0488,0.397418,4.10,4.10,3.70,2.05,0.40
1c5t,3.82434,3.82434,3.82434,2.05182,0.398307,4.10,3.90,3.70,2.05,0.40
1c5u,3.78471,3.78471,3.78471,2.0396,0.3947,3.90,3.90,3.50,2.04,0.40
1ci1,6.23071,2.34664,2.34664,2.33396,0.471041,5.70,2.10,2.10,2.31,0.47
1ckj,7.89671,7.60467,4.75208,2.73041,0.547845,7.70,7.30,4.50,2.52,0.51
1d0v,4.60176,4.60176,3.01779,2.17038,0.431175,4.30,4.30,2.90,2.11,0.42
1d9z,35.2398,6.30757,6.30757,4.05608,0.695625,35.30,5.90,5.90,3.64,0.66
1dd7,9.26704,7.76011,7.76011,3.20638,0.614965,8.90,7.50,7.30,2.43,0.49
1ddo,26.3439,20.2974,10.2548,3.56593,0.653788,26.30,20.30,9.90,3.48,0.65
1diq,8.13432,7.44205,5.14747,2.53502,0.512995,7.90,7.10,4.70,2.54,0.52
1dp2,9.96701,4.89379,2.24043,2.37373,0.479905,9.50,4.90,2.30,2.37,0.48
1duh,17.5433,5.56987,5.56987,4.02087,0.69296,17.10,5.50,5.50,4.10,0.80
1dwk,5.7774,5.55896,5.1104,2.48746,0.503683,5.70,5.70,4.70,2.37,0.48
1e1v,4.87174,3.49728,3.49728,2.01992,0.388804,4.70,2.70,1.90,1.96,0.37
1e1x,4.11933,3.28473,3.28473,1.99142,0.380056,4.10,2.50,2.10,1.93,0.36
1e34,3.98201,3.35871,2.97154,2.05829,0.400198,3.70,3.30,2.90,2.08,0.41
1e35,3.72559,3.22528,3.22527,2.06645,0.402566,3.70,3.50,2.90,2.09,0.41
1e36,3.8875,3.11427,2.90475,2.04653,0.396749,3.50,3.50,2.70,2.07,0.41
1e37,4.17824,3.10402,2.75508,2.10124,0.412458,3.90,3.90,3.10,2.13,0.42
1e38,4.15847,3.18592,2.65546,2.12914,0.420157,3.70,3.50,2.90,2.16,0.43
1ea1,4.85987,4.39304,2.73099,2.11499,0.416278,4.50,4.30,2.50,2.07,0.41
1elb,4.15899,3.76193,3.02856,2.13675,0.422221,3.70,3.70,2.70,2.14,0.42
1ele,4.59522,3.46173,2.96078,2.19316,0.437083,4.30,4.10,2.70,2.19,0.44
1eoa,9.56804,9.56804,9.56804,2.54511,0.514925,9.30,9.30,9.30,2.48,0.51
1eob,9.63835,9.63835,9.63835,2.51885,0.509869,9.30,9.30,9.30,2.46,0.50
1eoc,9.56177,9.56177,9.56177,2.51362,0.508849,9.10,9.10,9.10,2.45,0.50
1f7k,6.76608,6.76608,6.76608,3.11239,0.603338,6.90,6.90,6.90,2.68,0.54
1f7n,6.85965,6.85965,6.85965,3.11239,0.603338,7.10,7.10,6.90,2.68,0.54
1f7p,6.35641,6.29558,6.29558,2.5449,0.514886,6.30,6.10,6.10,2.17,0.43
1f7q,6.15886,6.04918,6.04918,2.50534,0.507225,6.10,5.90,5.90,2.13,0.42
1f9b,8.88921,7.55144,7.55144,2.91066,0.575846,8.70,6.90,6.90,2.88,0.57
1fdi,11.3553,10.4089,10.4089,2.77438,0.555011,10.90,9.90,9.90,2.77,0.56
1fdu,28.4085,11.8904,10.7719,4.4972,0.725481,28.10,12.30,10.10,3.95,0.69
1ga0,3.59925,3.59925,3.354,2.08296,0.407302,3.50,3.30,3.30,2.10,0.41
1gfz,8.83998,6.74654,6.74654,2.54328,0.514577,8.50,6.30,5.30,2.46,0.50
1gg8,8.84564,6.71688,6.71688,2.50227,0.506621,8.50,6.30,5.30,2.47,0.50
1ggf,7.01183,7.01183,5.42121,2.20208,0.439364,6.70,5.30,4.90,2.12,0.42
1ggn,8.86464,6.74985,6.74985,2.50227,0.506621,8.50,6.30,5.50,2.47,0.50
1gra,6.0387,6.0387,4.85159,2.73741,0.549001,5.70,5.10,4.70,2.65,0.54
1gw9,11.5021,7.39072,6.95863,2.71483,0.545251,11.70,7.30,6.90,2.70,0.54
1gz8,4.83458,3.20743,3.20743,2.03039,0.391955,4.30,2.70,1.90,1.98,0.38
1h0v,4.63947,3.48938,3.48938,2.069,0.403302,4.10,2.70,2.10,2.00,0.39
1h0w,5.02365,3.42691,3.42691,2.16849,0.430678,4.70,2.90,2.10,2.06,0.40
1h22,31.6798,7.62487,7.62487,4.09706,0.69867,31.30,7.50,7.30,4.02,0.69
1h23,31.5806,7.6461,7.6461,4.13969,0.701773,31.90,7.50,7.30,4.05,0.70
1hfa,10.9857,8.49768,8.49768,3.067,0.597467,10.90,7.30,5.70,2.81,0.56
1hg2,11.1951,8.49382,8.49382,3.07929,0.599074,11.10,7.30,5.70,2.82,0.56
1hg5,10.9977,8.42861,8.42861,3.04245,0.59422,10.50,7.10,5.90,2.79,0.56
1hl9,13.7033,5.52698,5.52698,2.41142,0.488033,13.10,5.50,5.50,2.28,0.46
1hlf,8.82698,6.7993,6.7993,2.51063,0.508264,8.50,6.30,5.30,2.48,0.50
1hnw,65.1098,26.0911,26.0911,4.66295,0.735239,64.70,25.50,25.50,4.53,0.76
1hnx,65.3752,26.3244,26.3244,4.67753,0.736064,65.10,25.70,25.50,4.55,0.76
1hnz,65.1549,25.9386,25.9386,4.63951,0.733901,65.10,25.30,25.10,4.51,0.76
1hon,4.30311,4.13785,4.13785,2.12556,0.419179,3.70,3.70,3.70,2.12,0.42
1hoo,4.5195,4.29267,4.29267,2.12556,0.419179,3.90,3.90,3.50,2.12,0.42
1hop,4.99319,4.55586,4.55586,2.20473,0.440038,4.70,4.10,3.70,2.20,0.44
1hrv,146.864,146.864,146.864,82.5663,0.985048,146.50,146.50,146.50,77.82,0.98
1inv,17.5623,9.49757,9.49757,3.20612,0.614933,17.10,9.30,9.30,3.22,0.62
1inw,21.5843,17.0632,17.0632,6.87941,0.820542,21.10,17.30,17.30,7.11,0.83
